id,server_name,ip_address,site_name,https_link,login_user,created_at,updated_at
86,111,111,11,145,1,2025-01-06 18:31:21,2025-01-06 18:31:21
87,2,2,222,2,2,2025-01-06 18:31:21,2025-01-06 18:31:21
88,3,3,3,33,3,2025-01-06 18:31:21,2025-01-06 18:31:21
89,33,33,33,33,33,2025-01-06 18:31:21,2025-01-06 18:31:21
90,44,44,44,44,44,2025-01-06 18:31:21,2025-01-06 18:31:21
91,77,77,77,77,77,2025-01-06 18:31:21,2025-01-06 18:31:21
92,45,45,45,45,45,2025-01-06 18:31:21,2025-01-06 18:31:21
93,23,23,23,23,23,2025-01-06 18:31:21,2025-01-06 18:31:21
94,lior,lior,lior,lior,lior,2025-01-06 18:31:21,2025-01-06 18:31:21
95,Server1,192.168.1.10,Site1,https://site1.com,admin,2025-01-06 18:31:35,2025-01-06 18:31:35
96,Server2,192.168.1.20,Site2,https://site2.com,user1,2025-01-06 18:31:35,2025-01-06 18:31:35
97,Server3,192.168.1.30,Site3,https://site3.com,root,2025-01-06 18:31:35,2025-01-06 18:31:35
98,Server4,192.168.1.40,Site4,https://site4.com,admin2,2025-01-06 18:31:35,2025-01-06 18:31:35
99,1,1,1,1,1,2025-01-06 18:31:52,2025-01-06 18:31:52
100,Server1,192.168.1.10,Site1,https://site1.com,admin,2025-01-06 18:36:54,2025-01-06 18:36:54
101,Server2,192.168.1.20,Site2,https://site2.com,user1,2025-01-06 18:36:54,2025-01-06 18:36:54
102,Server3,192.168.1.30,Site3,https://site3.com,root,2025-01-06 18:36:54,2025-01-06 18:36:54
103,Server4,192.168.1.40,Site4,https://site4.com,admin2,2025-01-06 18:36:54,2025-01-06 18:36:54
104,Server1,192.168.1.10,Site1,https://site1.com,admin,2025-01-06 18:36:54,2025-01-06 18:36:54
105,Server2,192.168.1.20,Site2,https://site2.com,user1,2025-01-06 18:36:54,2025-01-06 18:36:54
106,Server3,192.168.1.30,Site3,https://site3.com,root,2025-01-06 18:36:54,2025-01-06 18:36:54
107,Server4,192.168.1.40,Site4,https://site4.com,admin2,2025-01-06 18:36:54,2025-01-06 18:36:54
108,asd,asd,asd,ad,asd,2025-01-06 18:36:54,2025-01-06 18:36:54
